Jacobi (8 | 7): -1
Jacobi (8 | 9): 1
Jacobi (8 | 11): -1
Jacobi (8 | 13): -1
Jacobi (8 | 15): 1
Jacobi (8 | 17): 1
Jacobi (8 | 19): -1
Jacobi (8 | 21): 1
Jacobi (8 | 23): 1
Jacobi (8 | 25): 1
Jacobi (8 | 27): -1
Jacobi (8 | 29): -1
Jacobi (8 | 31): 1
Jacobi (8 | 33): 1
Jacobi (8 | 35): 1
Jacobi (8 | 37): -1
Jacobi (8 | 39): 1
Jacobi (8 | 41): 1
Jacobi (8 | 43): -1
Jacobi (8 | 45): -1
Jacobi (8 | 47): 1
Jacobi (8 | 49): 1
Jacobi (8 | 51): -1
Jacobi (8 | 53): -1
Jacobi (8 | 55): 1
Jacobi (8 | 57): 1
Jacobi (8 | 59): -1
Jacobi (9 | 1): 1
Jacobi (9 | 3): 0
Jacobi (9 | 5): -1
Jacobi (9 | 7): -1
Jacobi (9 | 9): 0
Jacobi (9 | 11): 1
Jacobi (9 | 13): 1
Jacobi (9 | 15): 0
Jacobi (9 | 17): 1
Jacobi (9 | 19): 1
Jacobi (9 | 21): 0
Jacobi (9 | 23): 1
Jacobi (9 | 25): 1
Jacobi (9 | 27): 0
Jacobi (9 | 29): 1
Jacobi (9 | 31): 1
Jacobi (9 | 33): 0
Jacobi (9 | 35): 1
Jacobi (9 | 37): 1
Jacobi (9 | 39): 0
Jacobi (9 | 41): 1
Jacobi (9 | 43): 1
Jacobi (9 | 45): 0
Jacobi (9 | 47): 1
Jacobi (9 | 49): 1
Jacobi (9 | 51): 0
Jacobi (9 | 53): 1
Jacobi (9 | 55): -1
Jacobi (9 | 57): 0
Jacobi (9 | 59): 1
